BioSample,LibraryName,Run,fq1,fq2,SampleType
GAL-020,GAL-020,156,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L005_R2_001.fastq.gz,include
GAL-020,GAL-020,157,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L006_R2_001.fastq.gz,include
GAL-020,GAL-020,158,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L007_R2_001.fastq.gz,include
GAL-020,GAL-020,159,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S104_L008_R2_001.fastq.gz,include
GAL-020,GAL-020,160,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S224_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-020_S224_L007_R2_001.fastq.gz,include
GAL-021,GAL-021,161,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L002_R2_001.fastq.gz,include
GAL-021,GAL-021,162,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L003_R2_001.fastq.gz,include
GAL-021,GAL-021,163,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L004_R2_001.fastq.gz,include
GAL-021,GAL-021,164,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L005_R2_001.fastq.gz,include
GAL-021,GAL-021,165,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L006_R2_001.fastq.gz,include
GAL-021,GAL-021,166,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L007_R2_001.fastq.gz,include
GAL-021,GAL-021,167,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S105_L008_R2_001.fastq.gz,include
GAL-021,GAL-021,168,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S225_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-021_S225_L007_R2_001.fastq.gz,include
GAL-022,GAL-022,169,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L002_R2_001.fastq.gz,include
GAL-022,GAL-022,170,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L003_R2_001.fastq.gz,include
GAL-022,GAL-022,171,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L004_R2_001.fastq.gz,include
GAL-022,GAL-022,172,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L005_R2_001.fastq.gz,include
GAL-022,GAL-022,173,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L006_R2_001.fastq.gz,include
GAL-022,GAL-022,174,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L007_R2_001.fastq.gz,include
