IID,tubo,isla,GPS_lat,GPS_lon,longitud_cm,Temperatura_fondo,profundidad_m,tipo_fondo,Macrozona,Bioregion,Region,PC_Cluster
GAL-001,1,Isabela,-0.92962,-90.88017,27,20.1,21,Semirocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-002,2,Isabela,-0.92962,-90.88017,25,20.1,21,Semirocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-003,3,Isabela,-0.92962,-90.88017,27,20.1,21,Semirocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-004,4,Isabela,-0.92962,-90.88017,32,20.1,21,Semirocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-005,5,Isabela,-1.0501,-91.1985,27,20.7,18,Rocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-006,6,Isabela,-1.0501,-91.1985,25,20.7,18,Rocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-007,7,Isabela,-1.0501,-91.1985,24,20.7,18,Rocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-008,8,Isabela,-1.0418,-91.23015,41,20.9,20,Rocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-009,9,Isabela,-1.0418,-91.23015,33,20.9,20,Rocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-010,10,Isabela,-1.0418,-91.23015,34,20.9,20,Rocoso,Isabela Sur,Central/South-eastern,South,LEFT
GAL-011,11,Santa Cruz,-0.583417,-90.160183,30,22,10,Roca y arena,Santa cruz Este,Central/South-eastern,South,RIGHT
GAL-012,12,Santa Cruz,-0.583417,-90.160183,25,22,10,Roca y arena,Santa cruz Este,Central/South-eastern,South,LEFT
GAL-013,13,Santa Cruz,-0.583417,-90.160183,17,22,10,Roca y arena,Santa cruz Este,Central/South-eastern,South,RIGHT
GAL-014,14,Santa Cruz,-0.49161,-90.32024,26.5,22.4,8,Rocoso,Santa cruz Norte,Central/South-eastern,South,LEFT
