,Darwin,Espanola,Floreana,Genovesa,Isabela Sur,Isabela Oeste,Isabela Este,Marchena,Pinta,San Cristobal,Santa Cruz,Santiago,Wolf
GAL-133,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-205,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-051,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-153,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-189,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-174,   0,0,0,0,0,0,0,0,0,0,0,0,1
GAL-146,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-044,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-141,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-100,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-039,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-149,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-095,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-034,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-139,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-050,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-119,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-053,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-012,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-172,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-061,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-132,   0,0,1,0,0,0,0,0,0,0,0,0,0
GAL-043,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-165,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-025,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-108,   0,0,0,0,0,0,0,0,0,0,1,0,0
GAL-117,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-135,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-069,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-115,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-017,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-081,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-006,   1,0,0,0,0,0,0,0,0,0,0,0,0
GAL-178,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-033,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-042,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-103,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-094,   0,0,0,0,0,0,0,0,0,0,0,0,1
GAL-054,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-037,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-177,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-027,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-065,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-014,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-087,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-162,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-184,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-200,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-002,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-155,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-040,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-198,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-210,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-180,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-046,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-154,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-084,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-064,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-005,   0,0,0,0,0,0,0,0,0,1,0,0,0
GAL-066,   0,1,0,0,0,0,0,0,0,0,0,0,0
GAL-193,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-071,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-023,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-123,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-163,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-045,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-015,   0,0,0,0,0,1,0,0,0,0,0,0,0
GAL-060,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-047,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-093,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-131,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-202,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-164,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-085,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-145,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-022,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-056,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-018,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-010,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-181,   0,0,0,0,0,0,1,0,0,0,0,0,0
